J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah
4466,0,0,0.0,0.0,7,0,153.3,0,0,0,0,0,0,4,9.34,110.82,31.74,40,2284,2352,1447,8,2,0,1,0,0,0,0,347,0,0.0,0.0,0,0,1,0.0,0,3,5,6,29,0,0,0,0,1,4,7,0.0,1,12
3180,0,0,0.0,0.0,1,0,31.2,0,0,0,0,0,0,3,42.46,138.69,181.25,17,1639,1589,1066,4,1,1,2,0,0,0,1,1225,0,0.0,0.0,0,0,0,0.0,0,0,2,10,7,0,0,0,0,2,4,13,5.0,0,22
8817,2,0,22.7,0.0,4,0,45.3,0,1,1,0,2,2,2,36.38,0.0,46.89,70,4466,4662,3014,5,3,0,1,0,0,0,0,1294,1,67.0,1104.0,0,0,0,0.0,0,3,4,0,25,0,0,0,0,0,6,22,8.0,0,38
7595,0,0,0.0,0.0,5,0,66.0,0,0,1,0,0,0,3,15.14,0.0,20.52,45,3859,4128,2870,2,4,0,1,0,1,0,1,757,0,0.0,0.0,0,0,0,0.0,0,3,0,5,18,1,0,0,0,0,0,7,2.0,0,13
15910,4,0,25.1,0.0,40,0,251.2,0,0,2,5,8,4,1,222.6,0.0,255.64,10,7930,7907,5092,13,6,0,0,0,1,0,0,1389,2,53.0,1405.0,0,0,1,0.0,0,1,6,70,152,0,0,0,1,2,9,24,9.0,3,46
12513,1,0,8.0,0.0,24,0,191.2,0,1,2,0,3,1,2,85.5,0.0,92.94,67,6161,6224,3863,9,2,0,4,0,1,0,4,4458,1,16.0,340.0,1,0,1,1.0,1,3,2,23,5,6,0,0,3,1,10,22,11.0,1,44
5728,0,0,0.0,0.0,6,0,105.9,0,0,0,0,1,0,2,87.72,45.58,98.61,57,2676,2810,1879,13,4,1,1,0,1,0,0,2911,0,0.0,0.0,0,0,2,0.0,0,3,6,157,44,0,0,0,2,1,5,6,4.0,3,18
9182,1,0,10.7,0.0,28,0,298.8,0,1,2,2,4,1,1,155.9,27.5,242.7,63,4788,4810,2828,7,5,0,0,1,0,1,0,453,0,0.0,0.0,0,0,0,0.0,0,0,1,45,12,0,0,0,1,3,5,39,8.0,2,54
15977,4,0,25.0,0.0,27,0,168.6,0,0,4,2,7,4,1,95.32,100.8,100.8,12,7928,7933,4892,16,2,0,2,0,2,0,0,2832,0,0.0,0.0,1,0,4,0.0,0,5,4,141,84,1,0,0,1,1,11,39,21.0,1,72
16571,1,0,6.0,0.0,11,0,65.9,0,1,4,0,0,1,2,102.7,0.0,244.5,78,8350,8334,4999,12,3,3,0,0,0,0,1,2261,0,0.0,0.0,0,0,2,1.0,1,1,5,99,32,1,0,0,1,5,5,37,9.0,1,52
19782,3,0,15.2,0.0,16,0,80.8,0,0,6,0,0,3,2,104.1,0.0,114.25,105,9803,9769,6067,13,6,1,4,0,2,0,2,5854,1,49.0,1944.0,0,0,1,0.0,0,3,7,63,78,0,0,0,2,2,12,22,12.0,5,51
7234,0,0,0.0,0.0,10,0,136.2,0,1,3,1,1,0,2,34.8,17.0,78.66,65,3712,3733,2201,5,1,0,0,0,0,0,0,46,0,0.0,0.0,0,0,0,0.0,0,0,0,170,34,0,0,0,0,3,7,10,3.0,0,20
7309,0,0,0.0,0.0,15,0,204.1,0,0,0,0,0,0,3,41.06,170.3,234.96,44,3654,3723,2403,18,3,2,1,1,0,0,1,827,0,0.0,0.0,0,0,2,1.0,0,2,4,94,0,1,1,0,0,2,10,36,14.0,0,60
3794,0,0,0.0,0.0,8,0,205.6,0,0,0,0,1,0,2,45.47,52.25,174.23,29,2039,1931,1254,3,1,1,0,0,0,0,0,162,0,0.0,0.0,0,0,0,0.0,0,0,2,12,12,0,0,0,0,2,9,17,9.0,0,35
5719,0,0,0.0,0.0,9,0,158.2,0,2,0,1,1,0,2,22.81,0.0,27.03,40,2794,3017,2061,4,2,0,1,0,1,0,1,1113,0,0.0,0.0,0,0,1,0.0,0,1,2,34,12,1,0,0,1,1,2,16,9.0,2,31
7521,0,0,0.0,0.0,7,0,92.0,0,0,2,3,5,0,2,145.0,0.0,207.5,51,3802,3889,2357,4,3,0,2,0,1,0,0,926,0,0.0,0.0,0,0,0,0.0,0,0,0,24,19,0,0,0,0,2,5,14,6.0,2,27
3312,1,0,29.7,0.0,5,0,148.6,0,0,2,0,1,1,2,73.67,78.17,152.79,17,1684,1699,1093,1,3,1,0,0,0,0,0,425,1,20.0,273.0,0,0,0,0.0,0,0,1,11,7,0,0,0,1,0,4,13,5.0,2,24
