J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
5853;0;0;0;0;14;0;239.4;0;0;0;0;0;1;0;0;0;90.02;3;30.22;0;33.22;40;5;2797;2973;1929;7;1;0;0;0;0;0;0;188;0;0;0;5;25;1;51;0;0;0;31;0;0;2;0
12142;0;0;0;0;17;0;140.3;0;1;0;8.25;0;2;0;8;0;94.82;2;55;0;70;53;8;5909;6083;3867;11;2;0;0;0;1;0;0;1892;0;0;0;4;75;5;85;0;0;0;36;0;0;1;4
5707;0;0;0;0;3;0;52.7;0;1;0;17.56;0;0;0;1;0;93.81;2;82.49;0;88.63;8;38;2757;2843;1875;6;1;0;0;0;0;0;0;270;0;0;0;0;55;12;20;0;0;0;21;3;0;0;0
3709;1;0;26.7;0;0;0;0;0;0;0;0;0;0;0;0;1;96.5;2;65.37;90.54;255.35;21;6;1866;1896;1219;4;3;1;1;1;0;1;1;2513;0;0;0;2;33;0;10;0;0;0;23;0;0;1;1
6508;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;97.5;4;10.51;76.8;180.25;41;7;3340;3123;2054;7;4;1;2;1;0;1;0;868;0;0;0;3;33;2;17;0;0;0;18;2;0;0;0
10139;7;0;67.7;0;29;0;280.6;0;0;0;0;0;2;1;3;7;94.87;1;185.13;6;297.72;84;10;5326;5290;3243;5;2;1;2;0;0;0;0;1570;0;0;0;3;52;0;10;0;0;0;34;0;0;1;4
6349;0;0;0;0;2;0;31.2;0;0;0;0;0;0;0;1;0;95.65;2;63.54;69.79;563.02;29;5;3194;3178;2011;5;1;2;0;0;0;0;0;107;0;0;0;1;25;0;5;0;0;0;21;1;1;0;1
5345;1;0;18.5;0;4;0;73.9;0;0;0;0;0;0;1;1;1;94.63;1;66.65;58;99.62;26;5;2725;2710;1710;1;1;3;0;0;0;0;0;105;0;0;0;2;14;1;3;0;0;0;39;1;0;1;2
17550;5;0;28.3;0;30;0;169.5;0;1;0;5.65;0;4;0;2;5;94.38;2;127;0;150;99;11;8728;8960;5370;9;4;0;2;0;1;0;1;2081;1;29;1981;5;225;0;124;0;0;0;55;3;0;1;5
21018;15;0;70.1;0;51;0;238.5;0;1;0;4.68;0;12;3;15;15;98.4;1;307;62;437;196;31;10926;10804;6404;33;3;2;1;2;0;2;0;1020;0;0;0;10;98;11;82;0;0;0;83;0;1;4;9
